domain	tier	tier_name	control_axis	physical_path	rationale	review_status
court-efiling-document-submission-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/court-efiling-document-submission-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
court-fees-fines-ability-to-pay-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/court-fees-fines-ability-to-pay-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
court-language-access-interpreter-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/court-language-access-interpreter-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
court-notice-service-process-default-judgment-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/court-notice-service-process-default-judgment-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
cpap-pap-device-mask-supply-power-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/cpap-pap-device-mask-supply-power-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
crane-derrick-hoist-rigging-suspended-load-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/crane-derrick-hoist-rigging-suspended-load-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
creative-commons-open-content-license-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/creative-commons-open-content-license-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
creator-royalty-rights-metadata-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/creator-royalty-rights-metadata-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
credit-card-revolving-credit-cost-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/credit-card-revolving-credit-cost-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
credit-consumer-reporting-access-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/credit-consumer-reporting-access-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
crime-victim-compensation-restitution-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/crime-victim-compensation-restitution-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
criminal-record-relief-collateral-consequences-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/criminal-record-relief-collateral-consequences-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
critical-infrastructure-lifeline-interdependency-resilience	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/critical-infrastructure-lifeline-interdependency-resilience	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
critical-minerals-materials-resilience	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/critical-minerals-materials-resilience	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
cultural-heritage-identity-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/cultural-heritage-identity-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
cushing-syndrome-hypercortisolism-metabolic-bone-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/cushing-syndrome-hypercortisolism-metabolic-bone-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
customs-border-entry-declaration-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/customs-border-entry-declaration-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
cyberbullying-online-harassment-reporting-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/cyberbullying-online-harassment-reporting-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
cybersecurity-resilience-critical-services	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/cybersecurity-resilience-critical-services	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
cytoskeleton-mechanotransduction-cellular-mechanics-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/cytoskeleton-mechanotransduction-cellular-mechanics-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
dams-levees-flood-control-infrastructure-safety	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/dams-levees-flood-control-infrastructure-safety	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
data-breach-notification-identity-recovery-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/data-breach-notification-identity-recovery-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
data-broker-registry-opt-out-deletion-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/data-broker-registry-opt-out-deletion-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
data-center-cooling-water-thermal-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/data-center-cooling-water-thermal-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
data-quality-missingness-representativeness	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/data-quality-missingness-representativeness	主要把科学、医疗、数据、制度或技术从潜在能力转成真实可用路径。	heuristic-v0.1
death-certificate-registration-cause-of-death-record-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/death-certificate-registration-cause-of-death-record-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
debt-obligation-collection-relief-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/debt-obligation-collection-relief-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
decontamination-exposure-triage-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/decontamination-exposure-triage-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
delirium-acute-cognitive-failure-prevention	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/delirium-acute-cognitive-failure-prevention	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
dementia-cognitive-decline-care-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/dementia-cognitive-decline-care-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
demolition-structural-collapse-debris-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/demolition-structural-collapse-debris-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
dental-care-access-insurance-workforce-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/dental-care-access-insurance-workforce-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
dental-caries-prevention-restoration-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/dental-caries-prevention-restoration-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
dental-pain-emergency-infection-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/dental-pain-emergency-infection-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
depression-mood-disorder-functioning-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/depression-mood-disorder-functioning-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
detention-custody-confinement-status-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/detention-custody-confinement-status-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
developmental-behavioral-screening-referral-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/developmental-behavioral-screening-referral-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
developmental-language-disorder-child-communication-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/developmental-language-disorder-child-communication-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
diabetes-insulin-glucose-monitoring-supplies-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/diabetes-insulin-glucose-monitoring-supplies-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
diabetic-foot-ulcer-amputation-prevention-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/diabetic-foot-ulcer-amputation-prevention-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
diabetic-hyperglycemic-hypoglycemic-crisis-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/diabetic-hyperglycemic-hypoglycemic-crisis-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
diabetic-retinopathy-screening-treatment-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/diabetic-retinopathy-screening-treatment-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
diabetic-therapeutic-footwear-offloading-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/diabetic-therapeutic-footwear-offloading-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
diagnostic-imaging-order-scheduling-report-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/diagnostic-imaging-order-scheduling-report-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
dialysis-access-vascular-peritoneal-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/dialysis-access-vascular-peritoneal-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
dietary-supplement-nutraceutical-evidence-safety-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/dietary-supplement-nutraceutical-evidence-safety-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
digital-evidence-preservation-chain-of-custody-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/digital-evidence-preservation-chain-of-custody-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
digital-identity-security	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/digital-identity-security	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
digital-inclusion-connectivity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/digital-inclusion-connectivity	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
digital-legacy-data-succession	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/digital-legacy-data-succession	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
dignity-personhood-respect-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/dignity-personhood-respect-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
disability-access-functional-needs-personal-preparedness-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/disability-access-functional-needs-personal-preparedness-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
disability-income-insurance-claim-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disability-income-insurance-claim-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
disability-income-work-capacity-benefit-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/disability-income-work-capacity-benefit-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
disability-services-independent-living	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/disability-services-independent-living	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
disaster-behavioral-health-distress-recovery-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disaster-behavioral-health-distress-recovery-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
disaster-case-management-long-term-recovery-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disaster-case-management-long-term-recovery-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
disaster-debris-waste-sanitation-cleanup-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disaster-debris-waste-sanitation-cleanup-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
disaster-individual-assistance-benefits-navigation-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/disaster-individual-assistance-benefits-navigation-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
disaster-legal-aid-rights-claims-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/disaster-legal-aid-rights-claims-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
disaster-recovery-center-service-access-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disaster-recovery-center-service-access-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
disaster-recovery-relief-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disaster-recovery-relief-continuity	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
disaster-temporary-housing-displacement-recovery-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disaster-temporary-housing-displacement-recovery-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
disaster-unemployment-income-disruption-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disaster-unemployment-income-disruption-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
disaster-volunteer-donations-management-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/disaster-volunteer-donations-management-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
disembodied-cns	C1	可能性边界改写层	去具身主体边界	domains/c1-boundary-rewriting/disembodied-cns	直接处理中枢生命系统脱离原身体后的主体持续性边界。	heuristic-v0.1
disorders-of-consciousness-coma-recovery	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/disorders-of-consciousness-coma-recovery	直接维护身体、脑、器官、衰老、损伤或生命系统这些可能性源体。	heuristic-v0.1
dmca-notice-counter-notice-platform-removal-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/dmca-notice-counter-notice-platform-removal-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
document-capture-ocr-pdf-record-workflow-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/document-capture-ocr-pdf-record-workflow-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
dog-bite-community-injury-prevention-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/dog-bite-community-injury-prevention-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
domain-dns-web-presence-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/domain-dns-web-presence-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
domestic-violence-coercive-control-safety-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/domestic-violence-coercive-control-safety-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
driver-license-vehicle-registration-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/driver-license-vehicle-registration-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
drought-water-restriction-household-health-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/drought-water-restriction-household-health-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
drowning-water-safety-supervision-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/drowning-water-safety-supervision-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
dry-eye-ocular-surface-comfort-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/dry-eye-ocular-surface-comfort-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
durable-medical-equipment-supplier-repair-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/durable-medical-equipment-supplier-repair-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
dysarthria-speech-intelligibility-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/dysarthria-speech-intelligibility-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
e-waste-battery-recycling-disposal-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/e-waste-battery-recycling-disposal-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
early-intervention-idea-part-c-developmental-services-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/early-intervention-idea-part-c-developmental-services-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
earthquake-seismic-risk-built-environment-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/earthquake-seismic-risk-built-environment-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
eating-disorders-nutrition-body-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/eating-disorders-nutrition-body-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
ecmo-extracorporeal-life-support-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/ecmo-extracorporeal-life-support-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
eczema-atopic-dermatitis-itch-sleep-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/eczema-atopic-dermatitis-itch-sleep-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
education-access-lifelong-learning	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/education-access-lifelong-learning	主要放大主体学习、认知、工具使用和生成新路径的能力。	heuristic-v0.1
education-record-transcript-verification-continuity	C3	可能性生成引擎层	主体能力生成	domains/c3-generation-engine/education-record-transcript-verification-continuity	关键词显示该域主要增强认知、学习、工具、AI、技能或沟通能力。	heuristic-v0.1
elder-justice-adult-protective-services	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/elder-justice-adult-protective-services	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
electric-grid-reliability-resilience-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/electric-grid-reliability-resilience-continuity	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
email-account-recovery-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/email-account-recovery-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
email-domain-authentication-spoofing-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/email-domain-authentication-spoofing-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
emergency-alerts-communications	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-alerts-communications	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
emergency-contact-next-of-kin-notification-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-contact-next-of-kin-notification-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
emergency-financial-document-cash-readiness-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-financial-document-cash-readiness-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
emergency-food-disaster-feeding-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-food-disaster-feeding-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
emergency-food-water-storage-treatment-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-food-water-storage-treatment-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
emergency-medical-services-prehospital-care	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-medical-services-prehospital-care	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
emergency-preparedness-response	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-preparedness-response	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
emergency-rental-assistance-arrears-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-rental-assistance-arrears-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
emergency-supply-kit-go-bag-rotation-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/emergency-supply-kit-go-bag-rotation-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
employment-algorithmic-hiring-screening-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/employment-algorithmic-hiring-screening-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
endocrine-hormonal-regulation	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/endocrine-hormonal-regulation	直接维护身体、脑、器官、衰老、损伤或生命系统这些可能性源体。	heuristic-v0.1
endometriosis-pelvic-pain-fertility-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/endometriosis-pelvic-pain-fertility-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
endoplasmic-reticulum-stress-upr-proteostasis-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/endoplasmic-reticulum-stress-upr-proteostasis-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
energy-access-resilience	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/energy-access-resilience	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
engineered-cell-therapy-regenerative-platforms	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/engineered-cell-therapy-regenerative-platforms	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
enteral-feeding-tube-nutrition-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/enteral-feeding-tube-nutrition-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
epigenetic-editing-gene-regulation-therapeutics	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/epigenetic-editing-gene-regulation-therapeutics	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
epilepsy-seizure-network-stability	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/epilepsy-seizure-network-stability	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
erectile-dysfunction-vascular-sexual-function-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/erectile-dysfunction-vascular-sexual-function-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
esophageal-dysphagia-motility-obstruction-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/esophageal-dysphagia-motility-obstruction-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
estate-inventory-asset-liability-handoff-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/estate-inventory-asset-liability-handoff-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
evacuation-route-transportation-shelter-plan-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/evacuation-route-transportation-shelter-plan-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
eviction-prevention-court-diversion-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/eviction-prevention-court-diversion-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
evidence-certainty-grade-summary-findings-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/evidence-certainty-grade-summary-findings-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
evidence-to-decision-guideline-panel-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/evidence-to-decision-guideline-panel-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
